customer_id,meter_id,account_number,tariff_category,rate_plan_id,division,connection_date,contract_status,sanctioned_load_kw,security_deposit,avg_monthly_units,phone,email,meter_type,utility_type,scd_effective_start,scd_effective_end,scd_current_flag,record_version,created_at,last_updated
CUST002850,MTR002850,ACC15255903,Residential,RP002,East,2019-06-18,Active,302.04,48952.06,260.96,+918403968284,customer2850@yahoo.com,Conventional,Gas,2022-12-27,2024-03-17,0,4,2019-06-18 03:01:57,2022-07-17 11:02:52
CUST004609,MTR004609,ACC25772867,Residential,RP002,Central,2013-05-13,Active,,30719.77,187.48,+918529498615,customer4609@gmail.com,AMI,Electricity,2023-03-28,2023-09-25,0,2,2013-05-13 00:52:14,2023-09-27 02:34:05
CUST003688,MTR003688,ACC94893019,Residential,RP002,East,2018-09-14,Active,428.6,32238.08,130.37,+917268228425,customer3688@gmail.com,AMI,Gas,2023-11-02,2024-03-23,0,2,2018-09-14 04:27:43,
CUST004852,MTR004852,ACC82883066,,RP004,West,2015-10-26,Disconnected,42.34,18665.77,333.04,+919463771683,-,Conventional,Electricity,2022-03-26,2022-11-23,0,3,2015-10-26 23:59:21,2023-12-18 00:38:22
CUST000404,MTR000404,ACC83102035,Agricultural,RP004,South,2012-11-05,Active,UNKNOWN,21930.57,686.15,UNKNOWN,customer404@yahoo.com,Prepaid,Electricity,2022-04-24,2023-05-25,0,3,2012-11-05 13:23:28,2022-11-09 08:04:34
CUST000889,MTR000889,ACC73472990,Residential,RP005,Central,2013-12-13,Active,388.91,15213.21,393.23,+917518532088,,Smart Meter,Electricity,2023-09-08,05/06/2024,0,3,2013-12-13 09:48:05,2024-08-05 14:56:22
CUST004376,MTR099228,ACC49767738,Residential,RP005,West,2011-12-05,Active,278.68,43044.54,384.26,+918423859373,customer4376@gmail.com,Conventional,Electricity,2022-01-11,,0,3,2011-12-05 16:37:39,2022-02-26 19:34:53
CUST003961,MTR003961,ACC94708877,Residential,RP004,West,2011-05-31,Active,350.13,13082.34,224.93,+919030771616,,Conventional,Electricity,2022-07-01,2023-05-25,0,4,,2023-05-10 15:08:23
CUST001234,MTR001234,ACC98700114,Residential,RP006,North,2021-02-18,Active,288.15,22679.01,171.56,+917309285991,customer1234@gmail.com,Smart Meter,Water,2023-11-27,2024-09-12,0,2,2021-02-18 07:42:45,2024-08-26 03:47:28
CUST000097,MTR000097,ACC25302143,Residential,RP002,South,,Active,166.32,22242.66,220.76,+917319645181,customer97@yahoo.com,Conventional,Electricity,2022-02-08,2022-11-16,0,4,2017-11-11 18:16:00,2024-03-07 18:34:46
CUST003251,MTR003251,ACC31366057,Residential,RP004,South,2014-09-06,ACTIVE,446.9,28330.36,187.58,+917433657716,customer3251@yahoo.com,AMR,Electricity,2024-08-07,9999-12-31,1,4,2014-09-06 16:21:28,2024-09-21 23:26:22
CUST000964,MTR000964,ACC56667128,Industrial,RP006,East,2014-07-17,Active,176.41,9880.47,10236.33,+917902611315,customer964@yahoo.com,Smart Meter,Water,2023-06-25,2023-11-09,0,3,2014-07-17 11:11:18,2024-12-09 01:26:42
CUST001434,MTR001434,ACC48303072,Residential,RP003,East,2015-08-22,Suspended,,35506.37,147.04,+917123871528,-,Smart Meter,Water,2024-05-31,9999-12-31,1,2,,2023-01-02 03:17:36
CUST004659,MTR004659,ACC92017502,Industrial,RP002,,2014-05-09,Suspended,349.99,44967.5,33068.35,+917274662137,customer4659@yahoo.com,Smart Meter,Electricity,2023-01-24,2023-08-10,0,3,2014-05-09 03:41:25,2022-10-26 01:09:41
CUST001955,MTR001955,ACC39996079,Industrial,RP002,South,2012-11-13,Active,353.56,35964.65,13787.39,+919474256375,customer1955@gmail.com,0,Electricity,2024-10-15,9999-12-31,1,1,2012-11-13 13:49:54,2024-05-12 03:12:45
CUST001174,MTR001174,ACC24292700,Residential,RP005,South,2010-06-02,Suspended,119.31,27422.94,165.81,+917985004779,customer1174@gmail.com,AMR,Water,2024-10-21,9999-12-31,1,1,2010-06-02 10:38:03,
CUST002708,MTR002708,ACC48126452,Agricultural,RP002,South,2017-10-30,Active,416.2,6273.88,1226.6,+917927898152,customer2708@gmail.com,conventional,Electricity,2024-08-16,9999-12-31,1,4,2017-10-30 18:15:35,2023-10-06 13:38:29
CUST001032,MTR001032,ACC45499373,Commercial,RP004,East,2012-04-27,Active,110.67,22035.68,1917.72,+917650721067,customer1032@gmail.com,AMR,Electricity,2023-06-23,2024-05-15,0,2,2012-04-27 20:58:37,2024-05-08 14:15:46
CUST000361,MTR000361,ACC93667158,Residential,RP003,South,2017-04-18,Active,85.66,47815.13,107.81,+918235478205,customer361@gmail.com,Conventional,Electricity,2022-06-07,2023-11-22,0,4,2017-04-18 15:48:49,2022-09-22 15:39:01
CUST002872,MTR002872,ACC17946391,Commercial,RP002,South,2021-12-10,Active,86.13,23191.83,891.2,+919521179376,customer2872@gmail.com,AMI,Electricity,2024-04-23,9999-12-31,1,3,2021-12-10 21:25:57,2022-07-15 09:27:11
CUST003821,MTR003821,ACC66052062,Residential,RP001,South,2012-11-20,Active,52.55,49938.74,339.42,UNKNOWN,customer3821@yahoo.com,SMART METER,Water,2024-01-05,9999-12-31,1,1,2012-11-20 19:31:45,2022-03-28 19:03:55
CUST003405,MTR003405,ACC98415776,Residential,RP002,Central,2020-04-04,Active,144.35,1959.59,394.0,+918431497126,,Smart Meter,Electricity,2022-08-01,2024-02-28,0,2,2020-04-04 02:19:26,
CUST004747,MTR004747,ACC12428683,Residential,RP005,east,2017-01-15,Active,246.78,38254.21,163.47,+918869613975,customer4747@yahoo.com,Conventional,Gas,2023-06-30,2023-11-19,0,2,2017-01-15 17:09:29,2024-08-19 07:45:42
CUST002712,UNKNOWN,ACC40914124,Industrial,RP002,North,2010-02-01,Active,463.78,45415.43,33359.4,+918437169831,customer2712@gmail.com,Conventional,Electricity,2023-05-26,2023-12-21,0,2,2010-02-01 03:49:59,
CUST002662,MTR002662,ACC38553559,Commercial,RP002,,2010-08-31,Active,418.36,23056.14,1650.63,+917374406059,customer2662@gmail.com,Conventional,Electricity,2023-02-20,2024-07-18,0,2,2010-08-31 06:13:09,2022-04-07 00:23:53
CUST004816,MTR004816,ACC24066893,Residential,RP002,East,2018-08-17,Active,477.36,10794.98,284.48,+919288501485,customer4816@yahoo.com,Smart Meter,Electricity,2022-09-24,2023-11-19,0,2,2018-08-17 05:59:56,2024-12-04 03:49:32
CUST004937,MTR004937,ACC86341151,Residential,RP001,East,2011-04-10,Active,214.91,12320.7,370.09,+917625724113,customer4937@gmail.com,smart meter,Gas,2022-12-25,2024-04-30,0,1,2011-04-10 03:42:11,
